آپدیت (Update)
ورژن (Version)
بتا (Beta)
آلفا (Alpha)
ریلز (Reels)
استوری (Story)
پادکست (Podcast)
وبینار (Webinar)
لایو (Live)
استریم (Stream)
کاستوم (Custom)
دیفالت (Default)
فیکس (Fix)
باگ (Bug)
ارور (Error)
هندل (Handle)
رندوم (Random)
کپی (Copy)
پیست (Paste)
کات (Cut)
دیلیت (Delete)
سیو (Save)
اوپن (Open)
کلوز (Close)
مینیمایز (Minimize)
ماکزیمایز (Maximize)
ریستارت (Restart)
شات داون (Shut down)
لاگین (Login)
لاگ اوت (Logout)
رجیستر (Register)
وریفای (Verify)
جستجو (Search)
فیلتر (Filter)
مرتب سازی (Sort)
منو (Menu)
باتن (Button)
فیلد (Field)
فرم (Form)
چک باکس (Check box)
