فلت (Flat)
متریال دیزاین (Material Design)
فراست گلس (Frosted Glass)
ترندی (Trendy)
اکسپرت (Expert)
پرو (Pro)
بیسیک (Basic)
پریمیوم (Premium)
استاندارد (Standard)
الیت (Elite)
وایرال (Viral)
فیک (Fake)
رییل (Real)
اتنتیک (Authentic)
لجندری (Legendary)
دریم (Dream)
الیت (Elite)
آپشن (Option)
اورجینال (Original)
پرفکت (Perfect)
آپگرید (Upgrade)
اکسس (Access)
اکسپلور (Explore)
اکسپورت (Export)
ایمپورت (Import)
ایمپکت (Impact)
ایمپلیمنت (Implement)
اینتگریشن (Integration)
ایتراتیو (Iterative)
کلیک (Click)
کانفیگ (Config)
دیتکت (Detect)
دیترمین (Determine)
دایورسیتی (Diversity)
دینامیک (Dynamic)
الیمینیت (Eliminate)
الیت (Elite)
الولویت (Evaluate)
اکسید (Exceed)
اکسکلود (Exclude)
