اکزکیوت (Execute)
اکسپند (Expand)
اکسپرس (Express)
اکستند (Extend)
اکسترکت (Extract)
فاسیل (Fossil)
فاینال (Final)
فلو (Flow)
فول (Full)
فورمت (Format)
فریم (Frame)
گالری (Gallery)
جنریت (Generate)
گلوبال (Global)
گرافیک (Graphic)
گاید (Guide)
هیرو (Hero)
هیستوری (History)
هاب (Hub)
هایپر (Hyper)
آیدنتیکال (Identical)
ایدئال (Ideal)
ایمیدیت (Immediate)
ایمورتال (Immortal)
ایمپلیمنت (Implement)
اینکلود (Include)
اینکومینگ (Incoming)
اینفلونس (Influence)
اینیشیال (Initial)
اینپوت (Input)
اینسپایر (Inspire)
اینستنس (Instance)
اینستال (Install)
اینستیتو (Institute)
اینتگریتی (Integrity)
اینتنس (Intense)
اینتراکتیو (Interactive)
اینترنال (Internal)
اینترپرتر (Interpreter)
اینتروال (Interval)
