اینتریوداکشن (Introduction)
جاست (Just)
جوین (Join)
جونیور (Junior)
کی (Key)
کیند (Kind)
کینتیک (Kinetic)
کینگ (King)
کینیت (Knit)
نالج (Knowledge)
لیبل (Label)
لندینگ پیج (Landing page)
لنگویج (Language)
لارج (Large)
لست (Last)
لاتین (Latin)
لییر (Layer)
لی اوت (Layout)
لیدر (Leader)
لینک (Link)
لیست (List)
لوکال (Local)
لوکیشن (Location)
لاگ (Log)
لاجیک (Logic)
ماجیک (Magic)
مین (Main)
مکینیک (Mechanic)
مدیا (Media)
متا (Meta)
میتود (Method)
مینی (Mini)
مینیمم (Minimum)
مود (Mode)
مدل (Model)
مدرن (Modern)
ماژول (Module)
مونیتور (Monitor)
موشن (Motion)
موتور (Motor)
